aab | arrabury airport | tanbar | brisbane
din | dien bien airport | dien bien phu | ho chi minh
dir | aba tenna d yilma airport | dire dawa | addis ababa
diu | diu airport | diu | kolkata
diw | mawella lagoon airport |  | colombo
diy | diyarbakir airport | baglar | istanbul
djb | sultan thaha airport | jambi city | jakarta
dje | melita airport | houmt souk | tunis
djg | inedbirenne airport |  | algiers
djj | sentani airport | sentani | jayapura
dkr | leopold sedar senghor international airport | mermoz boabab | dakar
dla | douala airport | douala | douala
dlc | dalian zhoushuizi international airport | dalian | shanghai
dle | dole-jura airport | choisey | paris
dlg | dillingham airport |  | anchorage
dlh | duluth international airport | hermantown | chicago
dli | lien khuong airport | duc trong | ho chi minh
dlm | dalaman airport | dalaman | istanbul
dlr | dalnerechensk airport | dal'nerechensk | vladivostok
dls | columbia gorge regional/the dalles municipal airport | the dalles | los angeles
dlu | dali airport | dali | shanghai
dmb | jambyl airport | taraz | almaty
dmd | doomadgee airport |  | brisbane
dme | moscow domodedovo airport | yakovlevskoye | moscow
dmk | don mueang international airport | don mueang | bangkok
dmm | king fahd international airport | al awjam | riyadh
dmu | dimapur airport | dimapur | kolkata
dnd | dundee airport |  | london
dne | dallas north airport | westworth | chicago
dnh | dunhuang airport |  | shanghai
dnk | dnepropetrovsk international airport | aviatorskoe | kiev
dnr | pleurtuit airport | pleurtuit | paris
dnz | cardak airport | cardak | istanbul
dob | dobo airport |  | jayapura
dod | dodoma airport | dodoma | dar es salaam
doh | hamad international airport | doha | qatar
dok | donetsk international airport | avdiyivka | kiev
dol | saint gatien airport | saint-gatien-des-bois | paris
dom | melville hall airport |  | dominica
dou | dourados airport | dourados | campo grande
doy | dongying airport | shengli | shanghai
dpa | dupage airport | wayne | chicago
dpb | pampa guanaco airport |  | santiago
dpl | dipolog airport | dipolog | manila
dpo | devonport airport |  | hobart
dps | ngurah rai international airport | kelanabian | makassar
dqa | daqing shi airport | wolitun | shanghai
dqm | duqm international airport |  | muscat
drg | deering airport |  | nome
dro | durango-la plata county airport | bayfield | denver
drp | bicol international airport |  | manila
drs | dresden international airport |  | berlin
drt | del rio international airport | ciudad acuna | chicago
drw | darwin international airport | ludmilla | darwin
dsa | doncaster sheffield airport | finningley | london
dsi | destin-fort walton beach airport | destin | chicago
dsm | des moines international airport | norwalk | chicago
dsn | ordos ejin horo airport | tianjiao | shanghai
dss | blaise diagne international airport | pout | dakar
dsy | dara sakor international airport | koh kong | phnom penh
dtb | sisingamangaraja xii international airport | siborong-borong | jakarta
dtm | dortmund airport | holzwickede | berlin
dtu | wudalianchi dedu airport | baoquan | shanghai
dtw | detroit metropolitan wayne county airport | romulus | detroit
dub | dublin airport | beaumont | dublin
dud | dunedin international airport | milton | auckland
duf | pine island airport | southern shores | new york
dur | king shaka international airport | ballitoville | johannesburg
dus | dusseldorf international airport |  | berlin
dut | unalaska airport |  | nome
dvl | devils lake airport | devils lake | chicago
dvo | francisco bangoy intl airport | babak | manila
dvt | phoenix deer valley airport | glendale | phoenix
dwc | dubai world central - al maktoum international airport |  | dubai
dwd | dawadmi airport | ad dawadimi | riyadh
dxb | dubai airport |  | dubai
dxj | xiangxi biancheng airport |  | shanghai
dxr | danbury municipal airport | danbury | new york
dyg | zhangjiajie hehua airport |  | shanghai
dyr | anadyr airport | anadyr | anadyr
dyu | dushanbe airport | dushanbe | dushanbe
dza | dzaoudzi airport | pamandzi | mayotte
dzh | dazhou jinya airport | dazhou | shanghai
dzn | zhezhazgan airport | zhezqazghan | almaty
eap | euroairport basel-mulhouse-freiburg airport | basel | zurich
ear | kearney regional airport | kearney | chicago
eas | san sebastian airport | fuenterrabia | madrid
eau | eau claire airport | lake hallie | chicago
eba | marina di campo airport | campo nell'elba | rome
ebb | entebbe international airport | entebbe | kampala
ebj | esbjerg airport | tjaereborg | copenhagen
ebl | erbil international airport | erbil | baghdad
ebo | ebon airport | ebon | majuro
ebu | boutheon airport | veauche | paris
eca | emmet county airport | east tawas | detroit
eci | costa esmeralda airport | tola | managua
ecn | ercan airport | geri | nicosia
edi | edinburgh airport | ratho | london
edl | eldoret airport | eldoret | nairobi
edn | enterprise muni airport |  | chicago
edo | balikesir koca seyit airport | edremit | istanbul
eek | eek airport |  | nome
ees | berenice international airport | berenice city | cairo
efl | kefallinia airport | argostolion | athens
efo | east fork airport |  | nome
egc | roumanieres airport | bergerac | paris
ege | eagle county airport | gypsum | denver
egm | sege airport |  | guadalcanal
egn | geneina airport | geneina | khartoum
ego | belgorod airport | belgorod | moscow
egs | egilsstadir airport |  | reykjavik
egx | egegik airport |  | anchorage
ehu | ezhou huahu airport | ezhou | shanghai
ein | eindhoven airport | meerhoven | amsterdam
eis | terrance b. lettsome international airport |  | tortola
eja | variguies airport | barrancabermeja | bogota
ejh | wedjh airport | al wajh | riyadh
ejn | ejin banner taolai airport | dalain hob | chongqing
eko | elko airport | elko | los angeles
eks | shakhtyorsk airport | shakhtersk | sakhalin
elc | elcho island airport |  | darwin
eld | south arkansas regional airport | el dorado | chicago
elf | el fasher airport | el fasher | khartoum
elg | el golea airport | metlili chaamba | algiers
elh | north eleuthera international airport |  | nassau
eli | elim airport |  | nome
elm | elmira corning regional airport | big flats | new york
elp | el paso international airport | fort bliss | denver
elq | prince nayef bin abdulaziz regional airport | al bukayriyah | riyadh
els | east london airport | east london | johannesburg
elu | guemar airport | reguiba | algiers
ema | east midlands airport | castle donington | london
emd | emerald airport | emerald | brisbane
emk | emmonak airport |  | nome
ena | kenai municipal airport | kenai | anchorage
ene | h. hasan aroeboesman airport | onekore | makassar
enh | enshi airport | enshi | shanghai
enu | enugu airport | enugu | lagos
enw | kenosha regional airport | kenosha | chicago
eny | ershilipu airport | bao'an | shanghai
eoh | enrique olaya herrera airport | itagui | bogota
eoi | eday airport |  | london
epr | esperance airport | nulsen | perth
eqs | esquel airport | esquel | argentina
erc | erzincan airport | erzincan | istanbul
erf | erfurt airport | ingersleben | berlin
erg | erbogachen airport | yerbogachen | irkutsk
erh | moulay ali cherif airport | errachidia | casablanca
eri | erie international airport | fairview | new york
erl | eren hot airport | erenhot | shanghai
ers | eros airport |  | windhoek
erz | erzurum airport | ilica | istanbul
esb | esenboga international airport | akyurt | istanbul
esc | delta county airport | escanaba | detroit
esd | orcas island airport |  | los angeles
esl | elista airport | troitskoye | moscow
esm | esmeraldas airport | esmeraldas | guayaquil
esu | essaouira airport | essaouira | casablanca
eth | eilat airport |  | jerusalem
etl | svetlaya airport | svetlaya | vladivostok
etm | ramon airport |  | jerusalem
etr | coronel artilleria victor larrea airport | santa rosa | guayaquil
etz | metz-nancy-lorraine airport | verny | paris
eug | eugene airport | junction city | los angeles
eun | hassan i airport | laayoune / el aaiun | casablanca
eux | f d roosevelt airport | oranjestad | kralendijk
eve | harstad/narvik airport evenes | evenskjer | oslo
evg | sveg airport | sveg | stockholm
evn | zvartnots international airport | arbat' | yerevan
evv | evansville regional airport | melody hill | chicago
ewb | new bedford airport | new bedford | new york
ewn | coastal carolina regional airport | james city | new york
ewr | newark liberty international airport | elizabeth | new york
ext | exeter international airport | topsham | london
eya | zeya airport |  | yakutsk
eyk | beloyarsky airport | beloyarskiy | yekaterinburg
eyp | el yopal airport | yopal | bogota
eyw | key west international airport | stock island | new york
eze | ministro pistarini airport | ezeiza | argentina
ezs | elazig airport | mollakendi | istanbul
fae | vagar airport | midvagur | faroe
fai | fairbanks international airport |  | anchorage
fao | faro airport |  | lisbon
far | hector international airport | oakport | chicago
fat | fresno yosemite international airport | sunnyside | los angeles
fav | fakarava airport |  | tahiti
fay | fayetteville regional airport | hope mills | new york
fbd | faizabad airport | fayzabad | kabul
fbm | lubumbashi international airport | lubumbashi | lubumbashi
fca | glacier park international airport | evergreen | denver
fcm | flying cloud airport |  | chicago
fco | leonardo da vinci-fiumicino airport | fiumicino-isola sacra | rome
fde | bringeland airport | sande | oslo
fdf | martinique aime cesaire international airport | le lamentin | martinique
fdh | friedrichshafen airport | friedrichshafen | berlin
feg | fergana airport | fergana | tashkent
fen | fernando de noronha airport | fernando de noronha (distrito estadual) | noronha
fez | fes-saiss airport | oulad tayeb | casablanca
fgi | fagali i airport | apia | apia
fih | n'djili airport | masina | kinshasa
fki | bangoka international airport | kisangani | lubumbashi
fkl | venango regional airport | franklin | new york
fkq | fak fak airport | fakfak | jayapura
fks | fukushima airport | sukagawa | tokyo
fla | capitolio airport | florencia | bogota
flg | flagstaff pulliam airport | kachina village | phoenix
fll | fort lauderdale-hollywood international airport |  | new york
fln | hercilio luz international airport | carianos | sao paulo
flo | florence airport | florence | new york
flr | firenze-peretola airport | sesto fiorentino | rome
fls | flinders island airport | bridport | hobart
flw | santa cruz airport |  | azores
flx | fallon municipal airport |  | los angeles
flz | ferdinand lumban tobing airport | batangtoru | jakarta
fma | el pucu airport | formosa | argentina
fmi | kalemie airport | kalemie | lubumbashi
fmm | memmingen allgau airport | memmingerberg | berlin
fmn | four corners regional airport | farmington | denver
fmo | munster osnabruck international airport | ladbergen | berlin
fna | lungi international airport | masoyila | freetown
fnc | madeira airport | machico | madeira
fnd | funadhoo airport | funadhoo | maldives
fni | garons airport | garons | paris
fnj | pyongyang sunan international airport | sunan | pyongyang
fnl | municipalcipal airport |  | denver
fnt | bishop international airport | flint | detroit
foc | changle international airport |  | shanghai
fod | fort dodge airport | fort dodge | chicago
fon | fortuna airport | quesada | costa rica
for | pinto martins airport | fortaleza | fortaleza
fpo | grand bahama international airport | freeport | nassau
fra | frankfurt airport | kelsterbach | berlin
frd | friday harbor airport |  | los angeles
fre | fera island airport |  | guadalcanal
fro | flora airport | floro | oslo
frs | santa elena airport | flores | guatemala
fru | manas international airport | bishkek | bishkek
frw | francistown airport | francistown | gaborone
fsc | sud corse airport | bonifacio | paris
fsd | sioux falls regional airport (joe foss field) | sioux falls | chicago
fsm | fort smith regional airport | barling | chicago
fsp | saint pierre airport | saint-pierre | miquelon
fsz | shizuoka airport | shimada | tokyo
fta | futuna airport |  | efate
fte | el calafate airport |  | argentina
ftu | marillac airport | fort dauphin | antananarivo
fue | fuerteventura airport | puerto del rosario | canary
fug | fuyang airport | fuyang | shanghai
fuj | fukue airport | fukuecho | tokyo
fuk | fukuoka airport | fukuoka-shi | tokyo
fun | funafuti atol international airport | fakaifou village | funafuti
fuo | fuoshan airport | guangzhou | shanghai
fvr | forrest river airport |  | perth
fwa | fort wayne international airport | ossian | indiana
fxe | fort lauderdale executive airport | dania beach | new york
fyj | fuyuan dongji airport | fuyuan | shanghai
fyn | fuyun koktokay airport | kalatongke | shanghai
fyu | fort yukon airport |  | anchorage
fzl | fuzuli international airport | fuzuli | baku
gae | gabès matmata international airport | gabes | tunis
gaj | junmachi airport | higashine | tokyo
gal | edward g. pitka sr. airport |  | anchorage
gam | gambell airport |  | nome
gan | gan/seenu airport | hithadhoo | maldives
gao | los canos airport |  | havana
gau | lokpriya gopinath bordoloi international airport | palasbari | kolkata
gay | gaya airport | bodh gaya | kolkata
gbb | gabala international airport | agdas | baku
gbe | sir seretse khama international airport | mmopone | gaborone
gbr | walter j. koladza airport | great barrington | new york
gbt | gorgon airport | gorgan | tehran
gbw | ginbata airport |  | perth
gcc | campbell county airport | gillette | denver
gci | guernsey airport |  | guernsey
gck | garden city municipal airport | garden city | chicago
gcm | owen roberts international airport | george town | cayman
gct | grand canyon bar 10 airport |  | phoenix
gdb | gondia airport | gondia | kolkata
gde | gode/iddidole airport | yeed | addis ababa
gdl | don miguel hidal y costilla international airport | el quince | mexico city
gdn | gdansk lech walesa airport | banino | warsaw
gdq | gondar airport | gondar | addis ababa
gdr | angra dos reis airport | angra dos reis | sao paulo
gdv | dawson community airport | west glendive | denver
gdx | magadan airport | sokol | magadan
gdz | gelendzik airport | gelendzhik | moscow
gea | noumea magenta airport | noumea | noumea
geg | spokane international airport | airway heights | los angeles
gem | president obiang nguema international airport | mongomo | malabo
geo | cheddi jagan international airport | vreed-en-hoop | guyana
ger | rafael cabrera airport |  | havana
ges | general santos international airport | buayan | manila
get | geraldton airport | geraldton | perth
gev | gallivare airport | gaellivare | stockholm
gff | griffith airport | griffith | sydney
gfk | grand forks international airport | grand forks | chicago
gfn | grafton airport | south grafton | sydney
ggg | gregg county airport | longview | chicago
ggh | gastão mesquita airport | cianorte | sao paulo
ggj | guaíra airport | salto del guaira | sao paulo
ggm | kakamega airport | kakamega | nairobi
ggt | exuma international airport | george town | nassau
ggw | glasgow international airport | glasgow | denver
gha | noumerate airport | ghardaia | algiers
ghb | governor's harbour airport |  | nassau
ghs | melak airport |  | makassar
ghv | brașov-ghimbav international airport |  | bucharest
gib | north front airport | gibraltar | gibraltar
gig | galeao antonio carlos jobim international airport | duque de caxias | sao paulo
gil | gilgit airport | gilgit | karachi
gis | gisborne airport | gisborne | auckland
giz | jazan regional airport | jizan | riyadh
gjl | jijel ferhat abbas airport | jijel | algiers
gjt | grand junction regional airport | fruitvale | denver
gka | goroka airport |  | port moresby
gkk | kooddoo airport |  | maldives
gla | glasgow international airport | inchinnan | london
glf | golfito airport |  | costa rica
glh | greenville airport | metcalfe | chicago
gll | klanten airport | gol | oslo
gln | goulimime airport | guelmim | casablanca
glt | gladstone airport |  | brisbane
glu | gelephu airport | sarpang | thimphu
glv | golovin airport |  | nome
gmb | gambela airport | gambela | addis ababa
gme | gomel airport | gomel | minsk
gmo | gombe lawanti international airport | akko | lagos
gmp | gimpo international airport | bucheon-si | seoul
gmq | golog maqin airport | dawu | shanghai
gmz | la gomera airport | alajero | canary
gna | grodno airport | hrodna | minsk
gnb | grenoble-isere airport | saint-etienne-de-saint-geoirs | paris
gnd | maurice bishop international airport | saint george's | grenada
gnj | ganja international airport | ganja | baku
gns | gunungsitoli airport |  | jakarta
gnv | gainesville regional airport | gainesville | new york
gny | sanliurfa gap airport |  | istanbul
goa | genoa cristoforo colombo airport | san teodoro | rome
goh | nuuk airport | nuuk | godthab
goi | dabolim airport | chicalim | kolkata
goj | nizhny novgorod international airport | gorbatovka | moscow
gom | goma airport | goma | lubumbashi
gop | gorakhpur airport | gorakhpur | kolkata
goq | golmud airport | guolemude | shanghai
got | goteborg landvetter airport | landvetter | stockholm
gou | garoua airport | garoua | douala
gov | nhulunbuy airport |  | darwin
gox | mopa airport | mopa | kolkata
goy | tura airport |  | krasnoyarsk
gpa | araxos airport | patra | athens
gpi | guapi airport |  | bogota
gps | baltra airport | puerto ayora | galapagos
gpt | gulfport-biloxi international airport | west gulfport | chicago
grb | austin straubel international airport | ashwaubenon | chicago
gri | grand island airport | grand island | chicago
grj | george airport | george | johannesburg
gro | girona-costa brava airport | vilobi d'onyar | madrid
grq | eelde airport | vries | amsterdam
grr | gerald r. ford international airport | forest hills | detroit
gru | sao paulo-guarulhos international airport | guarulhos | sao paulo
grv | groznyy airport | staraya sunzha | moscow
grw | graciosa island airport | lagoa | azores
grx | granada airport | chauchina | madrid
grz | graz airport | feldkirchen bei graz | vienna
gse | gothenburg city airport | majorna | stockholm
gsm | dayrestan airport | bandar-e khamir | tehran
gso | piedmont triad international airport | oak ridge | new york
gsp | greenville-spartanburg international airport | greer | new york
gst | gustavus airport |  | juneau
gsv | saratov gagarin airport | shumeyka | saratov
gte | alyangula airport |  | darwin
gtf | great falls international airport | great falls | denver
gto | tolotio airport | isimu | makassar
gtr | golden triangle regional airport | west point | chicago
gtt | georgetown airport | georgetown | brisbane
gua | la aurora international airport | santa catarina pinula | guatemala
guc | gunnison airport | gunnison | denver
gum | a.b. won pat international airport | tamuning-tumon-harmon village | guam
gur | gurney airport |  | port moresby
guw | atyrau airport | atyrau | aqtau
gva | geneve airport | les avanchets | zurich
gvr | governador valadares airport | governador valadares | sao paulo
gwd | gwadar airport | gwadar | karachi
gwl | gwalior airport | morar | kolkata
gwt | westerland - sylt airport | tinnum | berlin
gxa | beringin airport |  | pontianak
gxh | gannan xiahe airport | nawu | shanghai
gya | guayaramerin airport | guayaramerin | la paz
gyb | wodgina airport | wodgina | perth
gyd | heydar aliyev international airport | yeni suraxani | baku
gye | jose joaquin de olmedo airport | eloy alfaro | guayaquil
gyg | magan airport | magan | yakutsk
gyn | santa genoveva airport | goiania | sao paulo
gys | guang yuan airport | guangyuan | shanghai
gyu | guyuan liupanshan airport | shirak | shanghai
gyz | gruyere mine airport |  | perth
gza | gaza - yaser arafat international airport | shukat as sufi | gaza
gzg | garze gesar airport | ganzi | shanghai
gzo | gizo airport |  | guadalcanal
gzp | gazipasa airport | gazipasa | istanbul
gzt | gaziantep airport | oguzeli | istanbul
haa | hasvik airport | breivikbotn | oslo
hac | hachijo jima airport |  | tokyo
had | halmstad airport | halmstad | stockholm
hah | prince said ibrahim internatonal airport |  | comoro
haj | hannover airport | langenhagen | berlin
hak | haikou airport |  | shanghai
ham | hamburg airport | fuhlsbuettel | berlin
han | noi bai international airport | soc son | ho chi minh
haq | hanimaadhoo airport | dhidhdhoo | maldives
has | hail airport | hayil | riyadh
hau | haugesund airport | vedavagen | oslo
hav | jose marti international airport | boyeros | havana
hba | hobart international airport | seven mile beach | hobart
hbe | borg el arab airport | alexandria | cairo
hbq | qilian airport | hongtu | shanghai
hbx | hubli airport | hubli | kolkata
hcj | hechi jinchengjiang airport | nandan chengguanzhen | shanghai
hcr | holy cross airport |  | anchorage
hcz | chenzhou beihu airport | chenzhou | shanghai
hdf | heringsdorf airport | seebad heringsdorf | berlin
hdg | handan airport | handan | shanghai
hdk | kulhudhuffushi airport | kulhudhuffushi | maldives
hdm | hamadan airport | hamadan | tehran
hdn | yampa valley airport | hayden | denver
hdo | hindon airport | ghaziabad | kolkata
hds | hoedspruit airport | hoedspruit | johannesburg
hdy | hat yai international airport | khlong hoi khong | bangkok
hea | herat international airport | guzarah | kabul
heh | heho airport |  | rangoon
hek | heihe airport | xinfu | shanghai
hel | helsinki-vantaa airport |  | helsinki
her | heraklion airport | nea alikarnassos | athens
het | hohhot baita international airport | haoxinying | shanghai
hew | hengdian airport | nanshi | shanghai
hfa | haifa airport | qiryat mozqin | jerusalem
hfe | hefei xinqiao airport |  | shanghai
hfs | hagfors airport | hagfors | stockholm
hft | hammerfest airport | hammerfest | oslo
hga | hargeisa airport | hargeysa | mogadishu
hge | higuerote airport | higuerote | caracas
hgh | hangzhou xiaoshan international airport |  | shanghai
hgn | mae hong son airport | mae hong son | bangkok
hgo | korhogo airport | korhogo | abidjan
hgr | wash. county regional airport | state line | new york
hgu | mount hagen airport | mount hagen | port moresby
hhh | hilton head airport | hilton head island | new york
hhn | frankfurt - hahn airport | lautzenhausen | berlin
hhq | hua hin airport | hua hin | bangkok
hia | huai'an lianshui airport | huai'an | shanghai
hib | chisholm airport | hibbing | chicago
hid | horn island airport |  | brisbane
hij | hiroshima airport | takehara | tokyo
hin | sacheon airport | chinju | seoul
hir | honiara international airport |  | guadalcanal
hjj | zhijiang airport | zhijiang | shanghai
hjr | khajuraho airport | khajuraho | kolkata
hka | blytheville municipal airport | blytheville | chicago
hkd | hakodate airport | hakodate | tokyo
hkg | hong kong international airport | tuen mun | hong kong
hkk | hokitika airport |  | auckland
hkn | hoskins airport |  | port moresby
hkt | phuket international airport |  | bangkok
hla | lanseria international airport | diepsloot | johannesburg
hld | hulunbuir hailar airport | fendou | shanghai
hle | saint helena airport | jamestown | st helena
hlh | ulanhot airport | heping | shanghai
hlj | beidahuang general airport | zhaodong | shanghai
hln | helena regional airport | helena | denver
hlp | halim perdanakusuma airport | jakarta | jakarta
hly | anglesey airport | holyhead | london
hlz | hamilton international airport | hamilton | auckland
hma | khanty-mansiysk airport | khanty-mansiysk | yekaterinburg
hmb | mubarak international airport | al manshah | cairo
hme | oued irara airport | hassi messaoud | algiers
hmi | hami airport | hami | shanghai
hmo | gen pesqueira garcia airport | hermosillo | hermosillo
hmr | hamar airport | hamar | oslo
hmv | hemavan airport |  | stockholm
hmy | seosan airport | suisan | seoul
hna | hanamaki airport | hanamaki | tokyo
hnd | haneda airport | kawasaki | tokyo
hnh | hoonah airport |  | juneau
hnl | honolulu international airport | hickam field | honolulu
hnm | hana airport | hana | honolulu
hns | haines municipal airport |  | juneau
hny | hengyang nanyue airport | hengyang | shanghai
hob | lea county airport | hobbs | denver
hod | hodeidah airport | al hudaydah | aden
hof | al-ahsa airport | al hufuf | riyadh
hog | frank pais airport | cacocum | havana
hom | homer airport |  | anchorage
hor | horta airport | ribeira grande | azores
hou | william p. hobby airport |  | chicago
hov | hovden airport | volda | oslo
hox | homalin airport | yairipok | rangoon
hpb | hooper bay airport |  | nome
hpg | shennongjia hongping airport | hongping | shanghai
hph | cat bi international airport | haiphong | ho chi minh
hpn | westchester county airport | purchase | new york
hpy | baytown airport | baytown | chicago
hql | tashkurgan airport | taxkorgan tajik | urumqi
hqq | anyang hongqiqu airport |  | shanghai
hrb | harbin taiping international airport |  | shanghai
hre | harare international airport | epworth | harare
hrf | hoarafushi airport | hoarafushi | maldives
hrg | hurghada international airport | hurghada | cairo
hrh | aligarh airport |  | kolkata
hri | mattala rajapaksa international airport |  | colombo
hrk | kharkov airport | bezlyudivka | kiev
hrl | valley international airport | harlingen | chicago
hro | boone county airport | harrison | chicago
hrs | harrismith airport | kriel | johannesburg
hsa | hazret sultan international airport | kentau | almaty
hsf | suifenhe dongning airport | suifenhe | shanghai
hsg | saga airport | okawa | tokyo
hsj | shangjie airport | gongyi | shanghai
hsl | huslia airport |  | anchorage
hsn | putuoshan airport | dadong'ao | shanghai
hsr | rajkot international airport |  | kolkata
hsv | huntsville international airport | madison | chicago
hta | chita airport | domna | chita
htg | hatanga airport | khatanga | krasnoyarsk
hti | hamilton island airport |  | lindeman
htn | hotan airport | nu'erbage | shanghai
hts | tri-state/milton airport | ceredo | new york
htt | huatugou airport | gasi | shanghai
hty | hatay airport | serinyol | istanbul
huc | humacao airport | bajandas | puerto rico
hue | humera airport |  | addis ababa
huh | huahine airport | fare | tahiti
hui | phu bai international airport | phu vang | ho chi minh
hun | hualien airport | hualien city | taipei
huo | holingol huolinhe airport | mositai | shanghai
hus | hughes municipal airport |  | anchorage
huu | huanuco airport | huanuco | lima
hux | huatulco airport | sector h tres | mexico city
huy | humberside airport | croxton | london
huz | huizhou airport | longfeng | shanghai
hvb | hervey bay airport |  | brisbane
hvd | khovd airport | khovd | hovd
hvg | valan airport | honningsvag | oslo
hvn | new haven airport | east haven | new york
hvr | havre city county airport | havre | denver
hwd | hayward executive airport | hayward | los angeles
hxd | delingha airport | keluke | urumqi
hya | barnstable municipal airport | hyannis | new york
hyd | rajiv gandhi international airport | balapur | kolkata
hyn | luqiao airport | hengjie | shanghai
hys | hays municipal airport | hays | chicago
hza | establecimiento el araza airport | general guido | argentina
hzg | hanzhong airport | xiangshui | shanghai
hzh | liping airport | longlisuo | shanghai
hzu | chengdu huaizhou airport | majialin village | shanghai
iaa | igarka airport | igarka | krasnoyarsk
iad | washington dulles international airport | floris | new york
iag | niagara falls international airport | sanborn | new york
iah | george bush intercontinental airport |  | chicago
iam | in amenas airport |  | algiers
ian | bob baker memorial airport |  | anchorage
iar | tunoshna airport | yaroslavl | moscow
ias | iasi airport | iasi | bucharest
iba | ibadan airport | ibadan | lagos
ibe | ibague airport | ibague | bogota
ibm | iron bridge mine airport | marble bar | perth
ibr | ibaraki airport | okunoya | tokyo
ibz | ibiza airport | ibiza | madrid
icc | andrés miguel salazar marcano airport | punta de piedras | caracas
icn | incheon international airport |  | seoul
ict | wichita dwight d. eisenhower national airport | wichita | chicago
ida | idaho falls regional airport | idaho falls | boise
idi | ndiana county airport (jimmy stewart field) | indiana | new york
idr | devi ahilya bai holkar airport | indore | kolkata
ieg | zielona gora-babimost airport | zielona gora | warsaw
iev | kyiv international airport | chabany | kiev
ifj | isafjordur airport |  | reykjavik
ifn | isfahan international airport | dowlatabad | tehran
ifo | ivano-frankovsk airport | cherniyiv | kiev
ifp | laughlin bullhead international airport | laughlin | phoenix
ifu | ifuru airport | ugoofaaru | maldives
iga | inagua airport | matthew town | nassau
igg | igiugig airport |  | anchorage
igr | cataratas del iguazu international airport |  | argentina
igt | magas airport | troitskaya | moscow
igu | cataratas international airport | puerto iguazu | sao paulo
iil | ilaam airport | ilam | tehran
ijk | izhevsk airport | khokhryaki | samara
iju | j. batista bos filho airport | ijui | sao paulo
ika | imam khomeini international airport | robat karim | tehran
ike | tiksi airport |  | yakutsk
iki | iki airport | karatsu | tokyo
iks | tiksi airport | tiksi | yakutsk
ikt | irkutsk international airport | dzerzhinsk | irkutsk
iku | issyk-kul international airport | cholpon-ata | bishkek
ild | lleida-alguaire airport | alguaire | madrid
ili | iliamna airport |  | anchorage
ilm | wilmington international airport | wrightsboro | new york
ilo | mandurriao airport | pakiad | manila
ilp | ile des pins airport | vao | noumea
ilr | ilorin international airport | ilorin | lagos
ils | ilopango international airport | ilopango | el salvador
ily | glenegedale airport | isle of islay | london
imf | imphal municipal airport | imphal | kolkata
imp | imperatriz airport | imperatriz | fortaleza
imq | maku international airport | showt | tehran
imt | ford airport | kingsford | menominee
ina | inta airport | inta | moscow
inc | yinchuan hedong international airport | yanghe | shanghai
ind | indianapolis international airport | speedway | indiana
inh | inhambane airport | inhambane | maputo
ini | nis constantine the great airport | nis | belgrade
inl | falls international airport | fort frances | chicago
inn | innsbruck airport | vols | vienna
int | smith-reynolds airport | winston-salem | new york
inv | inverness airport | fortrose | london
inz | in salah airport | i-n-salah | algiers
ioa | ioannina airport | eksochi | athens
iom | isle of man airport | castletown | isle of man
ios | ilheus/bahia-jorge amado airport | ilheus | bahia
ipc | mataveri international airport | ostrov paskhi | easter
iph | ipoh airport | ipoh | kuala lumpur
ipi | san luis airport | carlosama | bogota
ipl | imperial county airport |  | los angeles
ipn | usiminas airport | ipatinga | sao paulo
ipt | lycoming county airport | montoursville | new york
ipz | san isidro de el general airport | san isidro | costa rica
iqm | qiemo airport |  | shanghai
iqn | qingyang airport | nanjie | shanghai
iqq | diego aracena international airport | iquique | santiago
iqt | c.f. secada vignetta international airport | iquitos | lima
ira | kirakira airport |  | guadalcanal
iri | nduli airport | iringa | dar es salaam
irj | la rioja airport | la rioja | argentina
irk | kirksville municipal airport | la plata | chicago
isa | mount isa airport |  | brisbane
isb | islamabad international airport | rawalpindi | karachi
ise | isparta suleyman demirel airport | keciborlu | istanbul
isg | painushima ishigaki airport | ishigaki | tokyo
ish | ischia airport | ischia | rome
isk | gandhinagar airport | deolali | kolkata
isl | istanbul ataturk airport |  | istanbul
isn | sloulin field international airport |  | chicago
isp | long island macarthur airport | bohemia | new york
ist | istanbul new airport | bahcelievler | istanbul
isu | sulaimaniyah international airport | as sulaymaniyah | baghdad
ith | ithaca tompkins regional airport | lansing | new york
itm | itami airport | toyonaka | tokyo
ito | hilo international airport | hilo | honolulu
iue | hanan airport | alofi | niue
iup | lorenzo airport | apui | manaus
ivc | invercargill airport | invercargill | auckland
ivi | viveros island airport |  | panama
ivl | ivalo airport | ivalo | helsinki
iwa | ivanovo yuzhny airport | ivanovo | moscow
iwd | gogebic county airport | ironwood | menominee
iwj | hagi-iwami airport | masuda | tokyo
iwk | iwakuni kintaikyo airport | iwakuni | tokyo
ixa | agartala airport | agartala | kolkata
ixb | bagdogra airport | baghdogra | kolkata
ixc | chandigarh airport | chandigarh | kolkata
ixd | bamrauli airport | allahabad | kolkata
ixe | mangalore airport | mangalore | kolkata
ixg | belgaum airport | belgaum | kolkata
ixi | lilabari airport | north lakhimpur | kolkata
ixj | satwari airport | jammu | kolkata
ixl | leh airport | leh | kolkata
ixm | madurai airport | tirupparangunram | kolkata
ixr | birsa munda airport | ranchi | kolkata
ixs | kumbhirgram airport | lakhipur | kolkata
ixu | chikkalthana airport | aurangabad | kolkata
ixz | port blair airport | port blair | kolkata
iza | zona da mata regional airport | rio novo | sao paulo
